product_name,category,price
Apple iPhone 14,Smartphone,999.99
Samsung Galaxy S23,Smartphone,849.99
HP Pavilion Laptop,Laptop,699.99
LG OLED TV,Electronics,1299.99
Dell XPS 13 Laptop,Laptop,1099.99
Apple MacBook Pro,Laptop,1999.99
Microsoft Surface Pro,Tablet,899.99
Sony WH-1000XM4,Headphones,349.99
Google Pixel 7,Smartphone,599.99
Amazon Echo,Smart Speaker,99.99
Apple iPhone 13,Smartphone,799.99
OnePlus 10 Pro,Smartphone,899.99
HP Spectre x360 Laptop,Laptop,1399.99
Sonos One,Smart Speaker,199.99
Samsung Galaxy Watch 5,Smartwatch,299.99
Apple Watch Series 7,Smartwatch,399.99
Dell Inspiron 15,Laptop,549.99
Bose QuietComfort 45,Headphones,329.99
Google Nest Hub,Smart Speaker,89.99
Apple iPad Pro,Tablet,799.99
Microsoft Xbox Series X,Console,499.99
PlayStation 5,Console,499.99
Canon EOS R Camera,Camera,1799.99
Nikon Z6 Camera,Camera,1599.99
Samsung QLED 4K TV,Electronics,999.99
Apple AirPods Pro,Headphones,249.99
Garmin Fenix 6X,Smartwatch,699.99
GoPro HERO 10 Camera,Camera,399.99
LG NanoCell 55 TV,Electronics,899.99
Bose SoundLink Revolve+,Headphones,299.99
Apple HomePod,Smart Speaker,299.99
Samsung Galaxy Buds Pro,Headphones,199.99
Dell G5 Gaming Desktop,PC,1199.99
Microsoft Surface Laptop 4,Laptop,1599.99
Lenovo ThinkPad X1,Laptop,1399.99
Sony PlayStation VR,Console,399.99
HP Omen Gaming Laptop,Laptop,1499.99
Beats Studio3 Wireless,Headphones,349.99
Amazon Kindle Paperwhite,Tablet,129.99
Apple TV 4K,Electronics,179.99
Asus ROG Strix Laptop,Laptop,1999.99
Philips Sonicare Toothbrush,Electronics,149.99
Shure SM7B Microphone,Electronics,399.99
MacBook Air M2,Laptop,1099.99
Amazon Fire TV Stick,Electronics,39.99
Sonos Arc Soundbar,Electronics,799.99
Apple MacBook Air,Laptop,999.99
LG 27 UltraWide Monitor,Electronics,349.99
HP Envy x360 Laptop,Laptop,999.99
Samsung Galaxy Z Flip 4,Smartphone,999.99
Lenovo Yoga Laptop,Laptop,849.99
Apple iPad Mini,Tablet,499.99
Bose Noise Cancelling Headphones 700,Headphones,379.99
Sony 65 4K TV,Electronics,1299.99
Apple Watch SE,Smartwatch,279.99
Nintendo Switch OLED,Console,349.99
Apple AirPods Max,Headphones,549.99
Samsung Galaxy Tab S7,Tablet,649.99
Logitech G502 Lightspeed Mouse,Electronics,129.99
Bose SoundSport Wireless,Headphones,149.99
Asus TUF Gaming Laptop,Laptop,1099.99
Samsung 32 Curved Monitor,Electronics,179.99
Logitech MX Master 3 Mouse,Electronics,99.99
Apple iPhone 12,Smartphone,699.99
Lenovo Legion 5 Gaming Laptop,Laptop,1399.99
GoPro HERO 9 Black,Camera,349.99
Sony Alpha 7C Camera,Camera,1799.99
Apple Mac Mini,Electronics,699.99
Microsoft Surface Pro 8,Tablet,1099.99
Nintendo Switch Lite,Console,199.99
Polaroid Originals OneStep+,Camera,129.99
HP Elite Dragonfly Laptop,Laptop,1799.99
Bose QuietComfort Earbuds,Headphones,249.99
Google Chromecast,Electronics,29.99
Beats Flex Wireless Earbuds,Headphones,49.99
Samsung Galaxy A52,Smartphone,499.99
Lenovo ThinkPad T14,Laptop,1199.99
Asus ZenBook 14,Laptop,899.99
Apple iPhone 11,Smartphone,699.99
Nintendo Switch Pro Controller,Console,69.99
Logitech G Pro X Wireless,Headphones,199.99
Canon EOS Rebel T8i,Camera,899.99
Anker Soundcore Liberty Air 2 Pro,Headphones,129.99
Sony WH-1000XM5,Headphones,399.99
Amazon Echo Show 10,Smart Speaker,249.99
Fitbit Charge 5,Smartwatch,149.99
Samsung 43 4K TV,Electronics,299.99
Google Pixel 6 Pro,Smartphone,899.99
Bose SoundLink Micro,Headphones,99.99
HP Elitebook 840 G7,Laptop,1199.99
Dell Alienware Aurora R12,PC,1599.99
Nikon D850 Camera,Camera,2999.99
HP Spectre x360 14,Laptop,1499.99
Logitech C920 HD Webcam,Electronics,69.99
Apple iPhone 12 Pro Max,Smartphone,1099.99
Samsung Galaxy Watch 4,Smartwatch,249.99
Asus ROG Strix 15 Laptop,Laptop,1699.99
Amazon Fire HD 10 Tablet,Tablet,149.99
Sony PlayStation 4 Pro,Console,399.99
Nintendo Switch,Console,299.99
Dell XPS 17 Laptop,Laptop,1899.99
Beats Powerbeats Pro,Headphones,249.99
Logitech G923 Racing Wheel,Electronics,399.99
Apple Watch Ultra,Smartwatch,799.99
Asus TUF 15 Gaming Laptop,Laptop,1499.99
Samsung Galaxy Z Fold 4,Smartphone,1799.99
Bose 700 Noise Cancelling Headphones,Headphones,399.99
Sony Xperia 1 III,Smartphone,1299.99
Apple iPhone SE 3,Smartphone,429.99
Sony 55 4K TV,Electronics,699.99
Microsoft Surface Book 3,Laptop,1599.99
Canon EOS 90D Camera,Camera,1299.99
Google Pixel 7 Pro,Smartphone,1099.99
Logitech G633 Artemis Spectrum,Headphones,149.99
Microsoft Surface Headphones 2,Headphones,249.99
Philips Hue Starter Kit,Electronics,199.99
Apple AirPods 3,Headphones,179.99
Garmin Venu 2,Smartwatch,399.99
Samsung Odyssey G7 27 Monitor,Electronics,499.99
Sony Alpha 7 III Camera,Camera,2299.99
Nintendo Switch OLED,Console,349.99
Dell XPS 13 2-in-1,Laptop,1399.99
Lenovo ThinkPad L15,Laptop,799.99
Beats Fit Pro,Headphones,199.99
Sony 75 4K TV,Electronics,1799.99
Samsung Galaxy A72,Smartphone,599.99
Apple iPad Air,Tablet,599.99
HP Pavilion Gaming Laptop,Laptop,899.99
Logitech G502 Hero,Electronics,49.99
PlayStation 4,Console,299.99
Beats Solo Pro,Headphones,299.99
Apple MacBook Pro 16,Laptop,2399.99
Nintendo Switch Joy-Con,Console,79.99
Samsung QN90A Neo QLED TV,Electronics,2499.99
