product_id,product_name,category,price,quantity,store_location
89,Bose SoundLink Micro,Headphones,99.99,500,Chicago
75,Beats Flex Wireless Earbuds,Headphones,49.99,400,New York
10,Amazon Echo,Smart Speaker,99.99,300,San Francisco
74,Google Chromecast,Electronics,29.99,300,San Francisco
86,Fitbit Charge 5,Smartwatch,149.99,300,New York
19,Google Nest Hub,Smart Speaker,89.99,270,San Francisco
14,Sonos One,Smart Speaker,199.99,250,New York
32,Samsung Galaxy Buds Pro,Headphones,199.99,250,New York
39,Amazon Kindle Paperwhite,Tablet,129.99,250,New York
45,Amazon Fire TV Stick,Electronics,39.99,250,New York
70,Nintendo Switch Lite,Console,199.99,250,New York
80,Nintendo Switch Pro Controller,Console,69.99,250,New York
87,Samsung 43 4K TV,Electronics,299.99,250,San Francisco
98,Amazon Fire HD 10 Tablet,Tablet,149.99,250,New York
129,Logitech G502 Hero,Electronics,49.99,250,San Francisco
18,Bose QuietComfort 45,Headphones,329.99,220,New York
53,Bose Noise Cancelling Headphones 700,Headphones,379.99,220,New York
83,Anker Soundcore Liberty Air 2 Pro,Headphones,129.99,220,Chicago
109,Apple iPhone SE 3,Smartphone,429.99,220,San Francisco
114,Logitech G633 Artemis Spectrum,Headphones,149.99,220,Chicago
73,Bose QuietComfort Earbuds,Headphones,249.99,210,Chicago
8,Sony WH-1000XM4,Headphones,349.99,200,New York
17,Dell Inspiron 15,Laptop,549.99,200,Chicago
40,Apple TV 4K,Electronics,179.99,200,San Francisco
60,Bose SoundSport Wireless,Headphones,149.99,200,Chicago
62,Samsung 32 Curved Monitor,Electronics,179.99,200,Los Angeles
76,Samsung Galaxy A52,Smartphone,499.99,200,San Francisco
85,Amazon Echo Show 10,Smart Speaker,249.99,200,Los Angeles
94,Logitech C920 HD Webcam,Electronics,69.99,200,San Francisco
110,Sony 55 4K TV,Electronics,699.99,200,Los Angeles
133,Nintendo Switch Joy-Con,Console,79.99,200,San Francisco
38,Beats Studio3 Wireless,Headphones,349.99,190,Los Angeles
9,Google Pixel 7,Smartphone,599.99,180,Chicago
15,Samsung Galaxy Watch 5,Smartwatch,299.99,180,Los Angeles
26,Apple AirPods Pro,Headphones,249.99,180,Chicago
42,Philips Sonicare Toothbrush,Electronics,149.99,180,Los Angeles
59,Logitech G502 Lightspeed Mouse,Electronics,129.99,180,Los Angeles
71,Polaroid Originals OneStep+,Camera,129.99,180,Los Angeles
81,Logitech G Pro X Wireless,Headphones,199.99,180,San Francisco
96,Samsung Galaxy Watch 4,Smartwatch,249.99,180,San Francisco
64,Apple iPhone 12,Smartphone,699.99,170,Chicago
12,OnePlus 10 Pro,Smartphone,899.99,160,San Francisco
28,GoPro HERO 10 Camera,Camera,399.99,160,New York
79,Apple iPhone 11,Smartphone,699.99,160,Los Angeles
2,Samsung Galaxy S23,Smartphone,849.99,150,Los Angeles
46,Sonos Arc Soundbar,Electronics,799.99,150,San Francisco
52,Apple iPad Mini,Tablet,499.99,150,San Francisco
55,Apple Watch SE,Smartwatch,279.99,150,San Francisco
63,Logitech MX Master 3 Mouse,Electronics,99.99,150,San Francisco
66,GoPro HERO 9 Black,Camera,349.99,150,San Francisco
102,Beats Powerbeats Pro,Headphones,249.99,150,San Francisco
116,Philips Hue Starter Kit,Electronics,199.99,150,Los Angeles
117,Apple AirPods 3,Headphones,179.99,150,San Francisco
124,Beats Fit Pro,Headphones,199.99,150,San Francisco
16,Apple Watch Series 7,Smartwatch,399.99,140,San Francisco
30,Bose SoundLink Revolve+,Headphones,299.99,140,Chicago
48,LG 27 UltraWide Monitor,Electronics,349.99,140,Chicago
88,Google Pixel 6 Pro,Smartphone,899.99,140,Los Angeles
127,Apple iPad Air,Tablet,599.99,140,Los Angeles
11,Apple iPhone 13,Smartphone,799.99,130,Chicago
58,Samsung Galaxy Tab S7,Tablet,649.99,130,San Francisco
84,Sony WH-1000XM5,Headphones,399.99,130,San Francisco
126,Samsung Galaxy A72,Smartphone,599.99,130,San Francisco
5,Dell XPS 13 Laptop,Laptop,1099.99,120,Chicago
29,LG NanoCell 55 TV,Electronics,899.99,120,Los Angeles
36,Sony PlayStation VR,Console,399.99,120,San Francisco
56,Nintendo Switch OLED,Console,349.99,120,Chicago
68,Apple Mac Mini,Electronics,699.99,120,Los Angeles
