product_id,product_name,category,price,quantity,store_location,total_value
1,Apple iPhone 14,Smartphone,999.99,100,New York,99999.0
2,Samsung Galaxy S23,Smartphone,849.99,150,Los Angeles,127498.5
3,HP Pavilion Laptop,Laptop,699.99,75,San Francisco,52499.25
4,LG OLED TV,Electronics,1299.99,50,New York,64999.5
5,Dell XPS 13 Laptop,Laptop,1099.99,120,Chicago,131998.8
6,Apple MacBook Pro,Laptop,1999.99,30,Los Angeles,59999.7
7,Microsoft Surface Pro,Tablet,899.99,90,San Francisco,80999.1
8,Sony WH-1000XM4,Headphones,349.99,200,New York,69998.0
9,Google Pixel 7,Smartphone,599.99,180,Chicago,107998.2
10,Amazon Echo,Smart Speaker,99.99,300,San Francisco,29997.0
11,Apple iPhone 13,Smartphone,799.99,130,Chicago,103998.7
12,OnePlus 10 Pro,Smartphone,899.99,160,San Francisco,143998.4
13,HP Spectre x360 Laptop,Laptop,1399.99,60,Los Angeles,83999.4
14,Sonos One,Smart Speaker,199.99,250,New York,49997.5
15,Samsung Galaxy Watch 5,Smartwatch,299.99,180,Los Angeles,53998.2
16,Apple Watch Series 7,Smartwatch,399.99,140,San Francisco,55998.6
17,Dell Inspiron 15,Laptop,549.99,200,Chicago,109998.0
18,Bose QuietComfort 45,Headphones,329.99,220,New York,72597.8
19,Google Nest Hub,Smart Speaker,89.99,270,San Francisco,24297.3
20,Apple iPad Pro,Tablet,799.99,110,Los Angeles,87998.9
21,Microsoft Xbox Series X,Console,499.99,50,New York,24999.5
22,PlayStation 5,Console,499.99,90,San Francisco,44999.1
23,Canon EOS R Camera,Camera,1799.99,70,Chicago,125999.3
24,Nikon Z6 Camera,Camera,1599.99,40,Los Angeles,63999.6
25,Samsung QLED 4K TV,Electronics,999.99,100,San Francisco,99999.0
26,Apple AirPods Pro,Headphones,249.99,180,Chicago,44998.2
27,Garmin Fenix 6X,Smartwatch,699.99,80,San Francisco,55999.2
28,GoPro HERO 10 Camera,Camera,399.99,160,New York,63998.4
29,LG NanoCell 55 TV,Electronics,899.99,120,Los Angeles,107998.8
30,Bose SoundLink Revolve+,Headphones,299.99,140,Chicago,41998.6
31,Apple HomePod,Smart Speaker,299.99,110,San Francisco,32998.9
32,Samsung Galaxy Buds Pro,Headphones,199.99,250,New York,49997.5
33,Dell G5 Gaming Desktop,PC,1199.99,60,Chicago,71999.4
34,Microsoft Surface Laptop 4,Laptop,1599.99,50,San Francisco,79999.5
35,Lenovo ThinkPad X1,Laptop,1399.99,70,Los Angeles,97999.3
36,Sony PlayStation VR,Console,399.99,120,San Francisco,47998.8
37,HP Omen Gaming Laptop,Laptop,1499.99,30,Chicago,44999.7
38,Beats Studio3 Wireless,Headphones,349.99,190,Los Angeles,66498.1
39,Amazon Kindle Paperwhite,Tablet,129.99,250,New York,32497.5
40,Apple TV 4K,Electronics,179.99,200,San Francisco,35998.0
